"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"RHOPRI02_GR","GR","rhopri",0.5,2.395617384,48.87562845,0.75,NA,NA,NA,0.0365270117251708,NA,NA
"RHOPRI03_GR","GR","rhopri",0.48,2.487765851,49.21878828,0.5,NA,NA,NA,0.0391236306729264,NA,NA
"RHOPRI04_GR","GR","rhopri",0.471698113207547,2.059806655,46.60373602,0.6,NA,NA,NA,0.0336393857843913,NA,NA
"RHOPRI05_GR","GR","rhopri",0.447552447552448,2.348372763,45.45463312,1,NA,NA,NA,0.0403551251008878,NA,NA
"RIBGLA01_GR","GR","ribgla",0.436363636363636,2.237402695,43.30489223,0.3,NA,NA,NA,0.023263065676089,NA,NA
"RIBGLA02_GR","GR","ribgla",0.529761904761905,2.258156381,44.72142581,NA,NA,NA,NA,0.0335874159148372,NA,NA
"RIBGLA03_GR","GR","ribgla",0.361111111111111,2.767561147,44.36707962,NA,NA,NA,NA,0.0260685262215371,NA,NA
"RIBGLA04_GR","GR","ribgla",0.517857142857143,1.727462994,44.97383844,NA,NA,NA,NA,0.0387206690931619,NA,NA
"RIBGLA05_GR","GR","ribgla",0.512820512820513,1.417324187,44.37178147,0.15,NA,NA,NA,0.0317762948840165,NA,NA
"RIBGLA06_GR","GR","ribgla",0.65,1.866058192,45.39679239,NA,NA,NA,NA,0.0347025859852964,NA,NA
"SALLUC01_GR","GR","salluc",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"SALLUC02_GR","GR","salluc",NA,NA,NA,5,3.4,NA,NA,NA,NA,NA
"SAMRAC01_GR","GR","samrac",0.266375545851528,4.523397888,50.25939305,2,1.5,1,NA,0.0270645445735588,NA,NA
"SAMRAC02_GR","GR","samrac",0.302631578947368,4.354399785,47.31878603,1.3,NA,NA,NA,0.0363703307904036,NA,NA
"SAMRAC03_GR","GR","samrac",0.257425742574257,3.876915599,47.39724181,2,1.8,2.2,NA,0.0318038178114913,NA,NA
"SAMRAC04_GR","GR","samrac",0.274725274725275,4.352608685,47.05207085,2.1,1.8,1.5,NA,0.0395555208577302,NA,NA
"SAMRAC05_GR","GR","samrac",0.212765957446809,4.267272439,47.28429979,7.5,3.6,3.7,1.7,0.0379778625813921,NA,NA
"SAMRAC06_GR","GR","samrac",0.285714285714286,4.891430797,45.29662983,2,1.3,NA,NA,0.0449728527507032,NA,NA
"SAMRAC07_GR","GR","samrac",NA,NA,NA,2,1.3,NA,NA,NA,NA,NA
"SAMRAC08_GR","GR","samrac",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA
"SAMRAC09_GR","GR","samrac",NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA
"SORAME01_GR","GR","sorame",0.414634146341463,2.322396712,44.68786272,1.2,NA,NA,NA,0.0223047142606784,NA,NA
"SORAME02_GR","GR","sorame",0.45679012345679,1.947632885,45.20710371,3,1.2,NA,NA,0.0417857560714704,NA,NA
"SORAME03_GR","GR","sorame",0.458715596330275,2.401456744,42.94158186,3,2,NA,NA,0.023120745782776,NA,NA
"SORAME04_GR","GR","sorame",0.521505376344086,2.337380945,45.46019664,4,1.5,1.9,2,0.0367068694284216,NA,NA
"SORAME05_GR","GR","sorame",0.447154471544715,2.797187886,43.87477378,7.5,3.6,1.7,3.7,0.0264859285015756,NA,NA
"SORAME06_GR","GR","sorame",0.451851851851852,2.848739341,44.28125114,2.5,1.5,NA,NA,0.028460876459467,NA,NA
"SORAME07_GR","GR","sorame",0.486956521739131,1.878930222,43.71123615,1.5,NA,NA,NA,0.0385964323471665,NA,NA
"SORAME08_GR","GR","sorame",NA,NA,NA,2,1.3,NA,NA,NA,NA,NA
"SPIALB01_GR","GR","spialb",0.547619047619048,2.105344795,46.92056666,1,NA,NA,NA,0.0417531251581558,NA,NA
"SPIALB02_GR","GR","spialb",0.442307692307692,2.692432561,46.78336651,1.3,NA,NA,NA,0.0289127859800968,NA,NA
"SPIALB03_GR","GR","spialb",0.4375,3.322671634,46.05707562,1,NA,NA,NA,0.0251070855238631,NA,NA
"SPIALB04_GR","GR","spialb",0.419354838709677,3.642398633,46.05948299,1.1,NA,NA,NA,0.0220485895792854,NA,NA
"SPIALB05_GR","GR","spialb",0.555555555555556,2.699798341,48.93822469,1.2,NA,NA,NA,0.0457106990325706,NA,NA
"SPIALB06_GR","GR","spialb",0.576271186440678,2.623086312,46.94754315,1.4,NA,NA,NA,0.0298383539607172,NA,NA
"SPIALB07_GR","GR","spialb",0.436363636363636,2.827955083,47.09990017,1.5,NA,NA,NA,0.0270318976392143,NA,NA
"SPIALB08_GR","GR","spialb",NA,NA,NA,1,NA,NA,NA,NA,NA,NA
