Sample,Weight (mg),%N,%C,C:N,Date
klsamrac07,4.08,3.1,43.3,13.8,02.12.2020 20:33
klsamrac08,3.94,4.4,42.5,9.7,02.12.2020 20:40
klsamrac09,4.23,5.2,45.0,8.6,02.12.2020 20:47
klsamrac10,3.80,4.4,44.4,10.1,02.12.2020 20:54
klshecan01,4.38,3.4,47.7,14.0,02.12.2020 15:07
klshecan02,4.18,3.5,46.2,13.1,02.12.2020 15:14
klshecan03,4.00,2.9,42.8,14.7,02.12.2020 15:29
klshecan04,3.75,2.8,43.3,15.5,02.12.2020 15:36
klshecan04_2,4.13,3.2,43.7,13.9,02.12.2020 15:43
klshecan05,3.64,3.4,48.6,14.5,02.12.2020 15:50
klshecan06,4.75,2.8,43.1,15.6,02.12.2020 15:57
klshecan07,4.84,3.2,42.5,13.4,02.12.2020 16:04
klshecan08,4.63,2.6,42.4,16.1,02.12.2020 16:11
klshecan09,3.76,2.8,43.0,15.1,02.12.2020 16:18
klsorsco01,3.91,1.9,43.5,23.3,02.12.2020 22:19
klsorsco02,4.12,2.2,41.8,18.9,02.12.2020 22:26
klsorsco03,4.14,1.9,42.1,22.4,02.12.2020 22:33
klsorsco04,4.36,1.9,43.9,22.9,02.12.2020 22:40
klsorsco05,3.60,2.2,41.7,18.7,02.12.2020 22:47
klsorsco06,4.34,2.3,42.8,18.4,02.12.2020 22:54
klsorsco07,3.66,3.2,44.5,13.7,02.12.2020 23:08
klsorsco08,4.31,2.9,44.0,15.1,02.12.2020 23:15
klsorsco09,3.74,3.2,44.7,14.0,02.12.2020 23:22
klsorsco10,3.86,1.8,45.1,24.7,02.12.2020 23:29
klspibet03,3.70,1.7,46.3,27.6,03.12.2020 00:54
klspibet04,4.52,1.3,47.7,38.3,03.12.2020 01:01
klspibet05,4.69,1.7,47.1,28.0,03.12.2020 01:08
klspibet06,4.05,1.7,46.1,27.8,03.12.2020 01:15
klspibet07,3.78,1.3,46.0,35.8,03.12.2020 01:22
klspibet08,3.83,1.8,46.8,25.4,03.12.2020 01:30
klspibet09,4.87,1.7,46.4,26.7,03.12.2020 01:58
klspibet10,4.94,1.9,45.9,24.3,03.12.2020 01:37
klspibet11,3.71,1.9,46.2,24.1,03.12.2020 01:44
klspibet12,3.88,1.7,49.6,29.5,03.12.2020 01:51
klsymalb01,3.61,2.0,45.8,22.4,02.12.2020 23:36
klsymalb02,3.67,1.8,44.3,24.9,02.12.2020 23:43
klsymalb02_2,4.73,1.9,44.8,23.1,02.12.2020 23:51
klsymalb03,4.06,2.2,53.8,24.5,02.12.2020 23:58
klsymalb11,3.75,2.1,45.6,21.4,03.12.2020 00:40
klsymalb12,3.71,1.7,43.7,26.4,03.12.2020 00:47
klsymlab07,4.42,2.2,43.0,19.8,03.12.2020 00:05
klsymlab08,3.88,2.2,44.3,20.6,03.12.2020 00:12
klsymlab09,3.66,1.9,43.3,22.9,03.12.2020 00:19
klsymlab10,3.69,2.0,44.6,22.2,03.12.2020 00:26
klvacmem01,4.25,1.6,43.1,26.7,02.12.2020 16:25
klvacmem02,4.14,1.7,45.0,26.6,02.12.2020 16:32
klvacmem03,4.79,2.2,44.0,20.3,02.12.2020 16:39
klvacmem04,3.76,2.7,42.8,16.1,02.12.2020 16:46
klvacmem05,3.82,2.2,44.6,20.3,02.12.2020 17:00
klvacmem06,4.37,2.2,45.9,20.5,02.12.2020 17:08
klvacmem07,3.96,2.1,45.2,22.1,02.12.2020 17:15
klvacmem08,4.18,1.8,44.5,24.4,02.12.2020 17:22
klvacmem09,4.37,2.4,45.7,19.1,02.12.2020 17:29
klvacmem10,3.61,2.2,45.9,21.1,02.12.2020 17:36
klvacmem11,4.02,2.1,44.7,21.5,03.12.2020 17:34
klvibedu01,3.95,1.6,42.3,26.1,02.12.2020 21:36
klvibedu02,3.97,1.7,44.1,26.1,02.12.2020 21:22
klvibedu03,4.08,1.7,44.1,25.4,02.12.2020 21:15
klvibedu04,4.43,1.7,46.2,27.1,02.12.2020 21:08
klvibedu05,3.83,1.8,45.8,25.8,02.12.2020 21:01
klvibedu06,3.90,1.8,43.5,24.5,02.12.2020 21:43
klvibedu07,4.45,2.2,45.1,20.1,02.12.2020 21:50
klvibedu08,4.07,2.1,44.5,21.0,02.12.2020 21:57
klvibedu09,4.40,1.4,43.8,31.8,02.12.2020 22:05
klvibedu10,3.78,1.9,43.0,22.6,02.12.2020 22:12
mpacegla01,4.39,1.7,44.8,25.9,25.11.2020 16:29
mpacegla02,3.63,2.8,47.7,16.9,25.11.2020 16:36
mpacegla03,4.21,2.5,47.0,19.2,25.11.2020 16:43
mpacegla04,3.47,2.8,48.0,17.3,25.11.2020 16:50
mpacegla05,4.41,2.4,43.9,18.4,25.11.2020 16:57
mpacegla07,3.91,2.4,46.0,19.6,25.11.2020 17:04
mpacegla08,3.78,2.4,45.4,18.6,25.11.2020 17:18
mpacegla09,3.77,2.3,45.5,19.5,25.11.2020 17:26
mpacegla10,4.28,2.8,46.0,16.7,25.11.2020 17:33
mpacegla11,4.29,1.8,45.4,25.4,25.11.2020 17:40
mpacegla11_2,4.37,1.9,45.3,23.6,04.12.2020 11:56
mpalninc01,3.80,42.0,475.6,11.3,25.11.2020 15:04
mpalninc02,4.58,4.2,62.9,15.1,25.11.2020 13:53
mpalninc03,4.26,4.1,64.2,15.7,25.11.2020 14:00
mpalninc04,3.76,39.2,491.2,12.5,25.11.2020 14:14
mpalninc05,4.26,40.8,470.2,11.5,25.11.2020 14:21
mpalninc06,4.73,36.7,462.3,12.6,25.11.2020 14:28
mpalninc07,4.08,34.1,494.2,14.5,25.11.2020 14:35
mpalninc08,4.14,33.2,391.8,11.8,25.11.2020 14:42
