"species","site","no","sample","lma"
"vibedu","kl","6","kl_vibedu_6",4.36593277017401
"vibedu","kl","7","kl_vibedu_7",4.29462827475267
"vibedu","kl","8","kl_vibedu_8",5.79048555946089
"vibedu","kl","9","kl_vibedu_9",5.73026170313482
"acegla","mp","1","mp_acegla_1",3.09569072143772
"acegla","mp","10","mp_acegla_10",2.11523895502424
"acegla","mp","11","mp_acegla_11",3.99897615814949
"acegla","mp","11_02","mp_acegla_11_02",2.48139464403249
"acegla","mp","2","mp_acegla_2",4.44660480677393
"acegla","mp","3","mp_acegla_3",5.24268596570592
"acegla","mp","4","mp_acegla_4",2.63824209189298
"acegla","mp","5","mp_acegla_5",1.95615718428843
"acegla","mp","7","mp_acegla_7",2.72879986037859
"acegla","mp","8","mp_acegla_8",2.87864575344216
"acegla","mp","9","mp_acegla_9",2.36439529250012
"alninc","mp","1","mp_alninc_1",3.09471796176898
"alninc","mp","10","mp_alninc_10",5.92444387950217
"alninc","mp","2","mp_alninc_2",6.4762045516238
"alninc","mp","3","mp_alninc_3",5.27986796870368
"alninc","mp","4","mp_alninc_4",3.51892676127055
"alninc","mp","5","mp_alninc_5",2.93255362217155
"alninc","mp","6","mp_alninc_6",3.96056054516891
"alninc","mp","7","mp_alninc_7",5.35886190156132
"alninc","mp","8","mp_alninc_8",2.99817398463776
"alninc","mp","9","mp_alninc_9",2.2378964542046
"alnvir","mp","1","mp_alnvir_1",4.78567030812538
"alnvir","mp","10","mp_alnvir_10",6.16180540934054
"alnvir","mp","2","mp_alnvir_2",3.37790408245658
"alnvir","mp","2_02","mp_alnvir_2_02",NA
"alnvir","mp","3","mp_alnvir_3",4.26471260612662
"alnvir","mp","4","mp_alnvir_4",4.9158024561684
"alnvir","mp","5","mp_alnvir_5",5.75032326037051
"alnvir","mp","6","mp_alnvir_6",3.8940985431101
"alnvir","mp","7","mp_alnvir_7",3.96910789951432
"alnvir","mp","8","mp_alnvir_8",2.67878686715555
"alnvir","mp","9","mp_alnvir_9",NA
"amealn","mp","1","mp_amealn_1",7.66047933980275
"amealn","mp","10","mp_amealn_10",4.24105386321178
"amealn","mp","11","mp_amealn_11",4.88039139062487
"amealn","mp","12","mp_amealn_12",3.25231969343517
"amealn","mp","2","mp_amealn_2",4.62197399950856
"amealn","mp","3","mp_amealn_3",5.16520344804344
"amealn","mp","4","mp_amealn_4",19.0613482271024
"amealn","mp","5","mp_amealn_5",4.74028239665322
"amealn","mp","6","mp_amealn_6",3.95774362606513
"amealn","mp","7","mp_amealn_7",4.33652518272933
"amealn","mp","8","mp_amealn_8",4.51179587540053
"amealn","mp","9","mp_amealn_9",5.91067886514032
"corsto","mp","1","mp_corsto_1",4.30804199809766
"corsto","mp","10","mp_corsto_10",4.86889946367375
"corsto","mp","10_2","mp_corsto_10_2",0.546241969925632
"corsto","mp","2","mp_corsto_2",2.40121260512385
"corsto","mp","20","mp_corsto_20",5.39135280982138
"corsto","mp","3","mp_corsto_3",4.06824882966307
"corsto","mp","5","mp_corsto_5",2.83811494026473
"corsto","mp","6","mp_corsto_6",2.78629353781848
"corsto","mp","7","mp_corsto_7",2.4248660897501
"corsto","mp","8","mp_corsto_8",NA
"corsto","mp","9","mp_corsto_9",2.87348308280708
"loninv","mp","10","mp_loninv_10",2.99640192746401
"loninv","mp","11","mp_loninv_11",3.45484782735603
"loninv","mp","12","mp_loninv_12",3.82326747955961
"loninv","mp","13","mp_loninv_13",NA
"loninv","mp","2","mp_loninv_2",NA
"loninv","mp","3","mp_loninv_3",5.21733158088407
"loninv","mp","4","mp_loninv_4",NA
"loninv","mp","5","mp_loninv_5",3.38229954986787
"loninv","mp","6","mp_loninv_6",3.57953098923774
"loninv","mp","7","mp_loninv_7",4.23408212280782
"loninv","mp","7_02","mp_loninv_7_02",NA
"loninv","mp","8","mp_loninv_8",NA
"loninv","mp","9","mp_loninv_9",3.31747056163047
"menfer","mp","1","mp_menfer_1",1.9620900389826
"menfer","mp","10","mp_menfer_10",2.49579876081864
"menfer","mp","10_2","mp_menfer_10_2",2.73549568315128
"menfer","mp","12","mp_menfer_12",2.56571771284245
"menfer","mp","2","mp_menfer_2",1.98089122521934
"menfer","mp","4","mp_menfer_4",2.00821953708139
"menfer","mp","5","mp_menfer_5",2.67694279780502
"menfer","mp","6","mp_menfer_6",1.91943314896015
"menfer","mp","7","mp_menfer_7",1.66511171648047
"menfer","mp","8","mp_menfer_8",NA
"menfer","mp","9","mp_menfer_9",1.95594108535906
