"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"VACMYR04_GR","GR","vacmyr",0.666666666666667,2.351109653,47.15155476,0.4,NA,NA,NA,0.0297130903991062,20.1,NA,"1",43.99837498,-1.06799594411452
"VACMYR05_GR","GR","vacmyr",0.647058823529412,2.190627754,47.32824234,0.5,NA,NA,NA,0.0365221758086238,21.6,NA,"1",43.99837498,-1.06799594411452
"VACMYR06_GR","GR","vacmyr",0.565217391304348,2.02403976,47.05252317,0.7,NA,NA,NA,0.0265239197530864,23.2,NA,"1",43.99837498,-1.06799594411452
"VACMYR07_GR","GR","vacmyr",NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"VIBCAS01_GR","GR","vibcas",0.556818181818182,2.543796104,46.76484721,2.5,1.6,1.4,NA,0.037495660224511,18.4,NA,"1",43.99837498,-1.06799594411452
"VIBCAS02_GR","GR","vibcas",0.578512396694215,2.450700857,45.73279779,1.5,NA,NA,NA,0.0320806167026787,18.7,NA,"1",43.99837498,-1.06799594411452
"VIBCAS03_GR","GR","vibcas",0.588235294117647,2.255034555,46.68923502,1.1,NA,NA,NA,0.0430495556537169,20.7,NA,"1",43.99837498,-1.06799594411452
"VIBCAS04_GR","GR","vibcas",0.526315789473684,2.161589994,46.99765665,2.4,1.2,1.3,1.2,0.0485468847710891,21.7,NA,"1",43.99837498,-1.06799594411452
"VIBCAS05_GR","GR","vibcas",0.527027027027027,2.587655662,45.72177413,1.4,NA,NA,NA,0.0420589245532992,17.7,NA,"1",43.99837498,-1.06799594411452
"VIBCAS06_GR","GR","vibcas",0.572916666666667,2.542020711,46.86612601,1.3,NA,NA,NA,0.0344164670627457,18.4,NA,"1",43.99837498,-1.06799594411452
